RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30
394710,250,"Jackson, MI",Msa,MI,44.0,29.0,21.0,15.0,17.0,19.0,22.0,26.0,33.0,43.0,50.0,53.0,42.0,30.0,16.0,13.0,15.0,17.0,22.0,24.0,29.0,35.0,47.0,48.0,41.0,34.0,28.0,24.0,17.0,16.0,15.0,11.0,11.0,13.0,18.0,18.0,14.0,8.0,6.0,6.0,8.0,12.0,17.0,23.0,29.0,33.0,37.0,32.0,23.0,14.0,12.0,11.0
395009,251,"Punta Gorda, FL",Msa,FL,39.0,39.0,42.0,43.0,44.0,42.0,39.0,33.0,29.0,32.0,37.0,43.0,49.0,50.0,55.0,54.0,49.0,41.0,34.0,34.0,33.0,34.0,37.0,37.0,38.0,34.0,40.0,42.0,40.0,31.0,22.0,18.0,18.0,20.0,21.0,17.0,12.0,7.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,7.0,6.0,6.0,6.0,8.0
394393,252,"Bloomington, IN",Msa,IN,54.0,46.0,40.0,38.0,38.0,35.0,37.0,44.0,51.0,56.0,61.0,61.0,51.0,34.0,29.0,32.0,39.0,39.0,46.0,47.0,55.0,55.0,54.0,43.0,31.0,32.0,36.0,39.0,34.0,32.0,34.0,36.0,41.0,44.0,45.0,33.0,18.0,6.0,5.0,5.0,7.0,8.0,10.0,10.0,13.0,18.0,18.0,14.0,7.0,5.0,5.0,6.0
395007,253,"Pueblo, CO",Msa,CO,11.0,9.0,8.0,9.0,9.0,10.0,12.0,14.0,16.0,21.0,24.0,24.0,19.0,14.0,10.0,9.0,9.0,10.0,13.0,15.0,16.0,19.0,19.0,17.0,11.0,10.0,8.0,8.0,6.0,6.0,8.0,10.0,10.0,10.0,11.0,11.0,8.0,6.0,5.0,5.0,5.0,6.0,8.0,10.0,11.0,13.0,13.0,12.0,8.0,7.0,7.0,8.0
394386,254,"Billings, MT",Msa,MT,44.0,35.0,27.0,22.0,20.0,23.0,31.0,36.0,40.0,49.0,56.0,55.0,42.0,28.0,21.0,16.0,20.0,25.0,30.0,34.0,39.0,47.0,52.0,47.0,33.0,19.0,12.0,13.0,12.0,12.0,10.0,8.0,10.0,12.0,11.0,8.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0
394406,255,"Bowling Green, KY",Msa,KY,43.0,35.0,28.0,25.0,24.0,26.0,29.0,37.0,49.0,63.0,74.0,77.0,65.0,46.0,33.0,35.0,38.0,43.0,38.0,45.0,45.0,55.0,60.0,63.0,56.0,46.0,40.0,39.0,32.0,29.0,25.0,24.0,19.0,20.0,26.0,27.0,23.0,17.0,12.0,10.0,9.0,11.0,13.0,13.0,14.0,19.0,25.0,22.0,15.0,8.0,7.0,7.0
394380,256,"Bend, OR",Msa,OR,33.0,24.0,22.0,24.0,26.0,33.0,39.0,42.0,44.0,51.0,56.0,51.0,40.0,29.0,23.0,20.0,22.0,28.0,35.0,39.0,43.0,44.0,46.0,38.0,26.0,18.0,18.0,22.0,20.0,16.0,10.0,8.0,7.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,6.0,7.0,9.0,11.0,13.0,16.0,16.0,13.0,8.0,5.0,6.0,8.0
394306,257,"Albany, GA",Msa,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,39.0,41.0,25.0,11.0,5.0,6.0,7.0
395193,258,"Vineland, NJ",Msa,NJ,51.0,42.0,38.0,33.0,31.0,36.0,36.0,46.0,47.0,70.0,73.0,74.0,54.0,49.0,50.0,52.0,52.0,52.0,56.0,62.0,60.0,57.0,61.0,69.0,66.0,59.0,56.0,50.0,38.0,26.0,25.0,24.0,25.0,23.0,23.0,23.0,19.0,17.0,14.0,15.0,15.0,16.0,19.0,21.0,23.0,26.0,27.0,25.0,20.0,15.0,14.0,14.0
394917,259,"Niles, MI",Msa,MI,76.0,66.0,46.0,34.0,38.0,42.0,47.0,47.0,47.0,54.0,61.0,69.0,63.0,52.0,41.0,37.0,38.0,39.0,40.0,46.0,52.0,62.0,64.0,62.0,63.0,62.0,59.0,45.0,43.0,42.0,46.0,40.0,46.0,45.0,56.0,46.0,40.0,26.0,23.0,23.0,24.0,25.0,25.0,29.0,36.0,35.0,42.0,37.0,35.0,21.0,16.0,14.0
